name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r1error,r2,r2error,l2/l1,l2/l1error,R2
TIC 116484192,233.020085709704,45.5687299452166,0.2763400433899577,5820.733430578674,129.1845892222379,66.92889878561918,0.5646599146839759,4.501580203980506,0.4369437311351993,0.1459810872171243,0.022839742823601,0.9234778035430103,0.0031785700028436,0.0,0.0,0.2658436604524836,0.0061297921910797,0.5209578233477726,0.0091384968289274,2.893844753208389,0.2987491057976223,0.9926207198320988
TIC 142619515,171.022234606207,77.8711371041118,0.2699196724668806,5256.226210589728,141.5622736270657,77.61330520286175,0.3482583811324863,5.053888141884866,0.0726176208949405,0.1701693476403852,0.0138711873582712,0.9202130524555372,0.0027893901308841,0.0,0.0,0.2584352116643149,0.000365783561286,0.5315566356511069,0.0017743035363652,3.0063681657270447,0.107286959435003,0.996535872432377
TIC 154875092,195.912241563279,88.4020172670486,0.3666324721098606,5851.532015332194,131.30774383208245,64.6626648717208,0.7834193328617128,5.185778078651309,0.7215340699580892,0.3223490647866607,0.0440442720649995,0.9491085046162404,0.0026299195988138,0.0,0.0,0.2642025930071146,0.0086603345674957,0.5402559233464036,0.0127681861393625,3.540246766460973,0.4498146306244561,0.9978581671451912
TIC 166853161,40.5243589331866,-48.6728015955297,0.2972141732053242,5802.685232813194,139.36748152654414,52.66023919977512,0.2357392505871808,2.8071908045836182,0.2943573226853404,0.1198677761592456,0.0223644841182021,0.9230868121358876,0.0052269470590421,0.0,0.0,0.3013750275602221,0.0070929437055678,0.4796645377700368,0.0103865828606712,1.9016705981354265,0.2310013938521288,0.9956575144838486
TIC 193728983,267.92505570291,47.975199715012,0.45522916868347,5508.218763928893,132.16942480874206,82.28380653243151,0.1688517044388571,2.5638875306714533,0.0198571024158669,0.2555567316476015,0.01112013971675,0.9699028942892082,0.0010986233145295,0.0,0.0,0.3183079023829228,0.0001164242026257,0.4806121188354854,0.0013571820658969,2.052931397725637,0.0307657140693899,0.994464123322096
TIC 1981434198,316.121571223341,70.7645142798072,0.3062516475748219,6574.607888699965,127.95387815271376,64.8950815375495,0.3072421013662874,3.1056537949683314,0.2753245813981224,0.6750616168540505,0.0362996868451497,0.913611577272086,0.0021296053004652,0.0,0.0,0.3307741934592135,0.0060641880887485,0.5220749615303379,0.0082144279553506,1.91506296331104,0.1605657919981815,0.9991423065664052
TIC 26970485,293.869334946556,53.1316162485111,0.5303695238886995,7295.684657895195,133.89792494712432,45.71691244955916,1.3004528986075403,1.9371889149422576,0.2555385371887859,0.7141569038273057,0.1592554798894568,0.8622075545273947,0.014745794266311,0.5068093809554106,0.049269456227564,0.3829482067077843,0.0010607565285966,0.4949879250878653,0.0220207204873516,1.084700634095506,0.1616754934400975,0.9961770156869748
TIC 271594955,108.477501,-72.390526,0.411732337673689,5828.080669959673,129.97082525135608,68.81451124424407,1.004580224743684,0.3620120514378175,0.0883161922909236,0.4127522224318908,0.0842149086345958,0.9845238724435172,0.0074811618366945,0.0,0.0,0.4967269960235231,0.0133858538723331,0.3228585746416615,0.0284728697004809,0.3933256222429079,0.0992878472411882,0.9963231395263475
TIC 340782794,19.1586273472239,-39.7087036585387,0.3797170662265305,5843.1706364472575,128.10525343090538,76.55569197346709,0.282433544297711,2.8607686919358564,0.0871726659519254,0.0690957549411321,0.0061042745661542,0.9828504775546468,0.0010606400405016,0.0,0.0,0.2965079011507673,0.002032412188854,0.4782664980177188,0.0030248548184463,2.4524750580679995,0.077030728118872,0.997483619702205
TIC 366087912,75.5614208274127,31.2636916214579,0.6033294500274246,6308.014656546225,132.3610679802502,51.15613948650777,0.2499271733604802,6.24096653195282,0.376483662487399,0.2196694338205655,0.0275358380892648,0.9383283788690416,0.0032113474336987,0.0,0.0,0.2453624679047324,0.0031007514382035,0.5504695981680561,0.0058086391608946,4.118437862882127,0.2609863609607654,0.9989177412015158
TIC 415969184,342.148637417193,-20.3119351852237,0.9483327935109498,6940.114820888311,27.834840584554502,82.22240292915811,0.4981713162304518,0.1432640077271845,0.0012794315739153,0.475924676788772,0.030535466578015,0.8998892299525068,0.0016839606039728,0.0,0.0,0.5685746855895207,0.0004977826003262,0.2486141012613686,0.0020491423191337,0.1336071481863202,0.0026110468920941,0.997455871208771
